twb file name,object type,datasource name,table name,remote column name,local column name,worksheet name,dashboard name,property type,property name,property value,proposed value,conversion in TS,supported in TS,supported in Migrator,exec_error_details,exec_mode,exec_status,exec_start_time,exec_end_time,exec_id,output_file_type,output_file_name,last_ingested_date
Profit And Product Analysis (2).twb,datasource property,SUPERSTORE_SALES,,,,,,ds_type,connection,Live,Live,Thoughtspot table,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,datasource property,SUPERSTORE_SALES,,,,,,named_connection,connector,snowflake,,snowflake,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,datasource property,SUPERSTORE_SALES,,,,,,join,left,[ORDERS].[REGION]::[USERS].[REGION],,LEFT_OUTER,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,datasource property,SUPERSTORE_SALES,,,,,,join,right,[RETURNS].[ORDERID]::[ORDERS].[ORDERID],,RIGHT_OUTER,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,table,SUPERSTORE_SALES,RETURNS,,,,,connection tag,,"<connection authentication=""Username Password"" class=""snowflake"" dbname=""DG_PROJECTTS"" max-varchar-size="""" odbc-connect-string-extras="""" one-time-sql="""" schema=""SUPERSTORE_SALES"" server=""wu85658.ap-southeast-1.snowflakecomputing.com"" service="""" username=""DGProjectTS"" warehouse=""COMPUTE_WH""/>",,Thoughtspot table,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,table,SUPERSTORE_SALES,ORDERS,,,,,connection tag,,"<connection authentication=""Username Password"" class=""snowflake"" dbname=""DG_PROJECTTS"" max-varchar-size="""" odbc-connect-string-extras="""" one-time-sql="""" schema=""SUPERSTORE_SALES"" server=""wu85658.ap-southeast-1.snowflakecomputing.com"" service="""" username=""DGProjectTS"" warehouse=""COMPUTE_WH""/>",,Thoughtspot table,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,table,SUPERSTORE_SALES,USERS,,,,,connection tag,,"<connection authentication=""Username Password"" class=""snowflake"" dbname=""DG_PROJECTTS"" max-varchar-size="""" odbc-connect-string-extras="""" one-time-sql="""" schema=""SUPERSTORE_SALES"" server=""wu85658.ap-southeast-1.snowflakecomputing.com"" service="""" username=""DGProjectTS"" warehouse=""COMPUTE_WH""/>",,Thoughtspot table,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,column,SUPERSTORE_SALES,,,CF - Profit > 0,,,calculated_column,[Calculation_834291888945041408],"(IF [PROFIT] >=0 THEN [PROFIT]
ELSE 0
END)",,if ([PROFIT] >= 0) then [PROFIT] else 0,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,axis,rows,sum:Calculation_834291888945041408:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,axis,columns,none:CITY:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,datasource,name,SUPERSTORE_SALES,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart,SUPERSTORE_SALES,,,,City who made Profit,,chart type,mark,line,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,encoding,color,none:CITY:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,encoding,size,sum:Calculation_834291888945041408:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,encoding,path,none:CITY:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,axis,rows,,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,axis,columns,,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,datasource,name,SUPERSTORE_SALES,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
